"id","Outcome_M1","Outcome_M2","Outcome_M3","Outcome_M4","Outcome_M5","Outcome_M6","Outcome_M7","Outcome_M8","Outcome_M9","Outcome_M10","Outcome_M11","Outcome_M12"
1,10853.9789066279,4923.1920251712,2171.00840171507,1500.07716307307,1265.69516913843,1063.03593835147,1180.10910253062,911.639262439563,780.767517534385,753.418414675724,826.714329800064,746.139741886189
2,4061.97668904864,2854.22399609245,1904.93713493552,1518.32063416603,1022.09884089557,946.186154572047,960.567709773337,763.051905304973,704.17761614519,700.289246541548,647.570371913331,591.958905073098
3,3930.18852028086,3492.76339149038,1473.99631695793,1151.20821914387,794.558186694792,800.781608983489,829.349275280224,681.942072848708,676.549200384404,703.66319315807,683.831498839205,589.847580190995
4,4665.53335379035,3193.2258603821,2139.20284541835,1782.94027882168,1358.09147387,1491.8724875519,1065.5563284322,910.904952421668,849.194989565209,784.108982779931,656.004426957602,601.856261759799
5,3870.23732134559,1892.66155769345,1226.18575492133,944.579033501896,947.960682103895,918.882578441504,920.550104272489,775.19199903863,713.990707560714,704.789882294723,653.255808917565,619.946864767861
6,8951.68999594678,1284.93785642301,726.878433676963,671.778664555662,1059.83523081751,1179.13376106004,1256.59185478058,976.90571607535,1069.2145998299,970.303362860954,817.491471167861,803.716509485261
7,9120.01269615687,3962.39274927646,3309.50544557253,2575.23550142504,1840.78976038585,1493.86404248808,1253.22049966729,1033.43378981527,928.284665145224,882.263850120745,725.47926594925,656.21465005657
8,3901.15780611356,1450.93061773565,996.810329444563,921.559246896836,844.247360713198,785.383615424836,829.557787048566,671.656033943129,642.461522843555,661.375190751843,612.838940113664,578.597120836601
9,8613.96434162414,5200.63266937441,2650.79224531754,1911.47773266579,1545.55582090437,1262.49925330326,1196.19803876255,1005.8836520371,800.239610517858,771.692060522135,787.731941784822,713.039870707096
10,5609.77124016615,2313.58879019888,1231.39836747827,1171.84471892572,925.964167013829,899.430939222987,952.833035841447,772.951240803087,692.181518872913,699.455400483567,668.397359744161,650.680084472191
